曲名,歌詞
I Want Somebody,I'm walking round in circles　名前も知らぬ君を探し歩いた夜は　月灯りさえ眩しいどこに隠れて踊る?So　始まるStory　君がその角を曲がる追いかけてく未来が　一つの道照らしてる黙っても感じる気持ち　もう二度と逢えない奇跡I want somebody　一度だけ　めぐり逢えた偶然にI need somebody　君を待っていた　ただ守りたかった生まれた恋気　風に乗ってく今夜逃がさぬように　君の瞳焼きつけた壊れた時計の針が　運命の背中を蹴るI want somebody　伝えたい　君の未来地図のなかI need somebody　二人の季節　回っているからI want somebody　一度だけ　めぐり逢えた偶然にI need somebody　君を待っていた　ただ守りたかった出会いは偶然に　未来はこの手の中に君の名前　聞かずダキシメル…I want somebody　伝えたい　君の未来地図のなかI need somebody　二人の季節　回っているからI want somebody　一度だけ　めぐり逢えた偶然にI need somebody　君を待っていた　ただ守りたかったI want somebodyI need somebodyI want somebody
愛してると言えない,どんな出来事にもそれなりに　そう　意味があるさこんな謎だらけの若さ早くヤメにしたいよ寝起きがわるいのもみみたぶ火照(ほて)るのも　わけあり不器用に今日を行こうShake it Shake it Baby街角のにぎやかさにのれなくて困る時があるクツズレのせいにしてる気がかりは何?　聞かないでコンビニの雑誌コーナーでとなり合った他人どうしわけのわからない　やるせなさキレないように越えてこうぜどんな出来事にもそれなりに　そう　意味があるさへんな人にアクセスされてバランスをくずしそう誰もが迷子だね誰もがひたむきに　わけありたましいは輝きたいShake it Shake it Baby他のヤツが好きな君を眼が覚めてすぐに思い出すエネルギーが　やせてしぼむ今日も歯ぐきがはれているどうしようもない　せつなさは誰の真上にも降るからはじめて　さかあがりが出来た遠い夏を思い出すよどんな出来事にもそれなりに　そう　意味があるさこんな謎だらけの若さ早くヤメにしたいよ寝起きがわるいのもみみたぶ火照(ほて)るのも　わけあり不器用に今日を行こうShake it Shake it Baby…talata…Shake it Shake it Babyどんな出来事にもそれなりに　そう　意味があるさへんな人にアクセスされてバランスをくずしそう誰もが迷子だね誰もがひたむきに　わけありたましいは輝きたいShake it Shake it BabyReason　もどかしすぎるSeasonReason　知りたいことは見えないReason　あこがれてたいHorizonReason　真実が見渡せる場所Reason　いつかみつけるFortuneReason　いとおしい自分でいよう
I seek,存在もいつかは溶けてく　対面の先には日差しあふれ結論ばかりな超理論　まわる　まわるよ真面目に日々を過ごしてきただけ　今更でもここから　今から　変わりたいんだ確かに今　かすかに今　君に乱されるままこんな時でも思い出す　笑顔が眩しくてこんなに愛したい　君に恋したいまだまだまだ　恋がないないそうじゃない　こうなっちゃしょうがない独断的な気ままで　Ah止められない　今ならリアルに　Say Goodbye掌の言葉に　Say Helloきっと何かが変わる　その時までに Goodbyeタイミングばかりが過ぎてく　クールが取り柄とキメた矢先点滅が続くシグナル　めぐる　めぐるよ明日もただ　過ぎる季節　君は気づかないままそんな時でも知らんぷり　自分がかなしくてそれでも愛したい　本当の恋したいまだまだまだ　そこじゃないないそうじゃない　こんなもんじゃない傲慢的な妄想さえ　Ah止められない　君への気持ちに　Say Goodbye言えそうにない言葉は　Say Helloやっと何かに気づく　ひとりよがりに Goodbye新しい季節(とき)　新しい光　新しい風が　ゆっくり僕を連れてく愛したい　君に恋したいまだまだまだ　恋がないないそうじゃない　こうなっちゃしょうがない独断的な気ままで Ah止められない　今ならリアルに　Say Goodbye掌の言葉に　Say Helloきっと何かが変わる　その時までに Goodbye昨日にはGoodbye...
EYES WITH DELIGHT,"Oh love you love you your eyes with delightその瞳は今　風を見てるOh love you love you your eyes with delight涙より深い　輝きを湛(たた)え微笑んでいる涼しげな口紅も君に似合ってるショーウィンドウで背中の羽を隠す仕種さらさらさらさらとゆれて靡(なび)いて香るは緑なす君の黒髪Oh love you love you your eyes with delightその瞳は今　風を見てるOh love you love you your eyes with delight涙より深い　輝きを湛(たた)え微笑んでいる長いカーブの坂道上りきった君待ち合わせには今日も早すぎるだろうにゆらゆらゆらゆらと陽炎立ちてストローハットにも降る蝉時雨Oh love you love you your eyes with delightその瞳は今　空を見てるOh love you love you your eyes with delight涙より深い　輝きを湛(たた)え微笑んでいるA to da r.a.s.h.i「A to da r.a.s.h.iLet me hear u say ah, hey ladies「I'm just gonna say ah, hey men」party night keep it going on and on「party night keep it going on and on」say ho「ho」胸にしまったあの悲しみがカタリ　音をたてるでももう　気付かないねOh love you love you your eyes with delightその瞳は今　僕を見てるOh love you love you your eyes with delight涙より深い　輝きを湛(たた)え微笑んでいるOh love you love you your eyes with delightその瞳は今　風を見てるOh love you love you your eyes with delight涙より深い　輝きを湛(たた)え微笑んでいる"
I say,"仕方ない　こんなものさワケ知り顔で　孤独　飲み干す奥まで　放り込んで　鍵かけてPassword　やぶリ捨て抱き締め合った Friday Night雨に変わった涙　戻らない笑顔の跡　声の面影を知るほどにI say, Bye Bye　繋がる言葉　見当たらないからだからもう一度I say, Bye Bye　ふたりで見た世界　遠ざかる君がいた未来また出会えるなら　“誰か”のままでいいだから Bye Bye　ただ　それだけ嘘はない　消せはしない言わないままの　台詞　見つけて筋書き　読み返して　いつの日かLast Word　忘れ去って確かめ合った Crazy Love君と触れた夜空　そのまま輝きだけ　増してゆくのだろうそれでもいいI say, Bye Bye　叶わぬ明日　見つからないままそれはもう二度とI say, Bye Bye　ふたりはただ強く　抱き締めた壊れるほどにまだ甘く痛む　君が焦がした心だけど Bye Bye　ただ　それだけI say, Bye Bye　まどろみに身を預けI say, Bye Bye　君と見た未来　「届かない」I say. Bye Bye　繋がる言葉　見当たらないからだからもう一度I say, Bye Bye　ふたりで見た世界　遠ざかる君がいた未来また出会えるなら　“誰か”のままでいいだから Bye Bye　ただ　それだけ"
愛と勇気とチェリーパイ,時が僕たちをためしてるだけ心配しないで愛と勇気とね　Redチェリーのパイそれだけあればなんにも怖くない　乗り越えられる君がいま大好きなものをHa-　味方にするLove is simple with youLove is simple with you君がトガルとお手上げうろたえてること隠すからそう　むやみに小石でドリブルさ　Oh恋のスウィートな魔法がとけてくのは　2人の中にもう絆が確かに出来たせいそばにおいでよけんかしてても　素肌抱きしめてもうれしそな君を見ていたいと気づく時が僕たちをためしてるだけまっすぐ信じて愛と勇気とね　So Sweetなケーキ女の子には時々甘いもの必要みたい太っても君を愛するよHa-　もっと食べたらLove is simple with youLove is simple with you正しいことは大抵単純だと思わないかいねぇよそ見もしないで君がいいからんでもいいマメじゃないけど何かあったときに1ミリも揺るがずに君を支える時が僕たちをためしてるだけ心配しないで愛と勇気とね　Redチェリーのパイそれだけあればなんにも怖くない 乗り越えられる世の中は複雑だけれどHa-　君といるとLove is simple with youLove is simple with youラララ…女の子には時々甘いもの必要みたい幸せな顔になる君をHa-　ずっと見てるLove is simple with youLove is simple with you
愛のCollection,傾いてく　影はスローモーション気怠い温度　部屋を満たして構わないから　迷い込めばいい微熱に浮かされたまま不完全な　心揺らして見つめ合った　夜の向こうへ何度だって　欲しくなって　キミのすべてAmazing… Amazing Love期待したい　騙されたい　記憶飾ったAmazing… Amazing Loveつなぎ止めていたはずの　ほころび直して甘く満たした　愛のCollection眠っていたはずの　想いは本能で書き換えられて　胸に迫る夜の中で　見つけたWonder夢じゃないでしよ？最初から　このままさ理屈では　解けないMagic息をして　求め合って　出口見えないAmazing… Amazing Love誰ひとり　探せない　時間のすき間Amazing… Amazing Love大胆不敵な笑みを　疑う言葉ふたりのゲームを　つなぐEmotion何度だって　欲しくなって　キミのすべてAmazing… Amazing Love期待したい　騙されたい　記憶飾ったAmazing… Amazing Loveつなぎ止めていたはずの　ほころび直して甘く満たした　愛のCollectionYou're Amazing…愛のCollection
I'll be there,I'll be with you... I'll be there for you...スタンスは斬新　抜かりなくチェイシング見逃すことのないシークレットサイン周りからLazy　身にまとうHazyすべて誘(いざな)うのさミステリーワールドただ疑うだけなら　エスコートしよう　どこまでも目の前の闇　掻き分けFind it遠回りしても　誰かが惑わせても常識脱ぎ捨てHigher見えてくるはずさ　繋がり合うCrazy Daysたどり着いた　その先には隠されている　そう本当のやさしさ掴もう　真実のJust oneマボロシじゃなくて　追いかけるのさI'll be with you... I'll be there for you...言葉巧みな　謳い文句も野暮な事じゃ騙されないさいつだってMaybe　浮かび出すStoryフタ開けてみれば　そうDeep insideただ失うだけでも　絡み合う糸を　ほどくだけ感覚研ぎ澄ましてCatch up鼓動鳴り響く　心に問いかけたらマスターキー突き止めMove on低俗なワナを　踏み散らしてLook down now積み重ねた　答えかざし見果てぬリアルはあざやかにだから描こう　壮大にDreamer真実の意味を　解らせるまでI'll be with you今日も向き合うリグレット　瞳の奥を揺らす数え切れない　痛みを抱いて　I'll find the way to go目の前の闇　掻き分けFind it遠回りしても　誰かが惑わせても常識脱ぎ捨てHigher見えてくるはずさ　繋がり合うCrazy Daysたどり着いた　その先には隠されている　そう本当のやさしさ掴もう　真実のJust oneマボロシじゃなくて　追いかけるのさI'll be with you... I'll be there for you...I'll be with you... I'll be there for you...
愛を歌おう,"この世界に　夜明けの音　君の声　偽りない出逢い朝日のように　生まれ変わり　時を越え　包むよ君らしさが　僕の希望Hey!　今　思いのままにHey!　愛を歌おうAh-ah-ah-ah-ah　どこまでも遠く響けHey!　君が笑えば　みんな笑って明けてゆく光が　明日を照らしてく　もうすぐ嘆きの空　争う場所　聞こえる　何かが変わる夜癒やしたくて　そばにいるよ　いつでも　心に君がいるよ　僕の勇気Hey!　どんな大きな声でHey!　愛を呼んだってAh-ah-ah-ah-ah　悲しみは終わらないHey!　迎えにゆこう　そばにいるよこの夜が明けたら　何か動き出す　もうすぐSail away　遠くへ　Sail away　遥か遥か遠くへStay, stay　何度も　Stay, stay　夜と朝を迎えて(Yo-ho)果てなき海を前に前に行進きっとこれこそ私の希望の道高貴な誇りたちがいま hold meholy holy story (yeah yeah)悲しみなんて底がないだからこそ夢と刻む帆を張り空に向け続く航海you're my　道を照らす灯台響くみんなの鼓動　震わせてく　見えない闇を晴らしてくHey!　今　思いのままにHey!　愛を歌おうAh-ah-ah-ah-ah　どこまでも遠く響けHey!　君が笑えば　みんな笑って明けてゆく光が　明日を照らしてく　もうすぐHey!　今　思いのままにHey!　愛を歌おうAh-ah-ah-ah-ah　二度とない　この瞬間(とき)をHey!　君と一緒に生きて　伝えてゆく喜びも痛みも　すべて包み込み I love you"
愛を叫べ,思えば長い付き合いだけど　(今日は) 世界中の誰よりも綺麗だぜおまちかね　俺たちのマドンナに　(今日は) あの頃の仲間で　お祝いさ懐かしいなベイベー　たちまちスティル・セブンティーンやっぱりスーパーレディー　変わらない　高嶺の花だぜこのアイ・ラブ・ユーを　親愛なる人におまえは今でもアイドルさ　みんな大好きだぜだから永遠(とわ)に　愛し合って　コングラッチュレーション　幸せになってくれなきゃ困るぜ　ベイベー素晴らしい未来へ　愛を叫べ眩しくてちょっと照れ臭いけど　(今日は) 世界中の誰だって惚れるぜお墨付き　俺たちのマドンナに　(今日は) ここにいる仲間が　証人さ一緒に撮ろうよベイベー　そこら中がラブ＆ピース語ろうぜメモリーズ　変わらない　あの頃のままいまアイ・ラブ・ユーを　最愛なる人へあいつはおまえにお似合いさ　みんな降参だぜこんなに乾杯　愛されて　オー！拍手　喝采　幸せってきっとこれだろ泣けるぜ　ベイベー素晴らしい未来へ　鐘を鳴らせこのアイ・ラブ・ユーを　親愛なる人におまえは今でもアイドルさ　みんな大好きだぜだから永遠(とわ)に　愛し合って　コングラッチュレーション　幸せになってくれなきゃ困るぜ　ベイベー素晴らしい未来へ　愛を叫べダーリン　ダーリン　ダーリン　泣きながら笑えダーリン　ダーリン　ダーリン　おめでとう　これこそがトゥルーラブおめでとう　俺たちのトゥルーラブ
